"dataset","method","estimate","se","ci_lo","ci_hi","ci_lo_bca","ci_hi_bca"
"BCG (log RR)","IV_FE",-0.399017111342419,0.0370626701497842,-0.471658610006883,-0.326375612677954,NA,NA
"BCG (log RR)","DL_RE",-0.564668500280651,0.144518690196518,-0.847919928158728,-0.281417072402574,NA,NA
"BCG (log RR)","REML_RE",-0.559283553437364,0.192190714091601,-0.935970431219936,-0.182596675654791,NA,NA
"BCG (log RR)","HK_REML",-0.559283553437364,0.206516495744005,-1.00924434390232,-0.109322762972409,NA,NA
"BCG (log RR)","HuberIV",-0.618293868209722,0.193533657475888,-0.997612866658772,-0.238974869760671,NA,NA
"BCG (log RR)","tRE_df4",-0.606111920114285,0.185172371776385,-0.96904309972786,-0.243180740500709,NA,NA
"BCG (log RR)","GRMA",-0.598952556028332,0.209733467982311,-1.03784204028474,-0.264878594130024,-1.41523376455152,-0.364757934469966
"BCG (log RR)","GRMA_noguard",-0.529553878551645,0.185420768081412,-0.899240046617804,-0.153465247964513,-0.857425357331344,-0.0910346685325084
"Morris (SMD change diff)","IV_FE",1.0055194894005,0.112415913412333,0.785188347823156,1.22585063097785,NA,NA
"Morris (SMD change diff)","DL_RE",1.0055194894005,0.112415913412333,0.785188347823156,1.22585063097785,NA,NA
"Morris (SMD change diff)","REML_RE",1.0055194894005,0.112415913412333,0.785188347823156,1.22585063097785,NA,NA
"Morris (SMD change diff)","HK_REML",1.0055194894005,0.10793250488547,0.750299670813162,1.26073930798784,NA,NA
"Morris (SMD change diff)","HuberIV",0.985994467098526,0.112907161939727,0.764700496100029,1.20728843809702,NA,NA
"Morris (SMD change diff)","tRE_df4",0.98274509520367,0.108949066964551,0.769208847803907,1.19628134260343,NA,NA
"Morris (SMD change diff)","GRMA",0.957955145630988,0.145799674897754,0.612601179891711,1.20018908468854,0.62183992821056,1.21256718756234
"Morris (SMD change diff)","GRMA_noguard",0.980005698280235,0.111470711020977,0.763945288758137,1.19011524127897,0.770926218515328,1.20328033448868
"CD002042: 30-day mortality (log OR)","IV_FE",0.0172816397418871,0.0506226256410051,-0.0819368833173368,0.116500162801111,NA,NA
"CD002042: 30-day mortality (log OR)","DL_RE",0.0172816397418871,0.0506226256410051,-0.0819368833173368,0.116500162801111,NA,NA
"CD002042: 30-day mortality (log OR)","REML_RE",0.027030414331783,0.0676744123832489,-0.105608996614296,0.159669825277862,NA,NA
"CD002042: 30-day mortality (log OR)","HK_REML",0.027030414331783,0.0602877195879132,-0.0940610341942956,0.148121862857862,NA,NA
"CD002042: 30-day mortality (log OR)","HuberIV",0.0154694501522566,0.0679439210623827,-0.117698188098446,0.148637088402959,NA,NA
"CD002042: 30-day mortality (log OR)","tRE_df4",0.00935246675940312,0.066000686786735,-0.120006502297506,0.138711435816312,NA,NA
"CD002042: 30-day mortality (log OR)","GRMA",0.00722557272472124,0.0345329461919145,-0.064519163452296,0.0765305639071412,-0.0451813632335214,0.0986417815885644
"CD002042: 30-day mortality (log OR)","GRMA_noguard",0.0297219771954342,0.0707821241933399,-0.114238824434182,0.173967099906383,-0.108949317223935,0.180071087806878
"CD002042: CHF (log OR)","IV_FE",-0.129139879931316,0.0976469726645006,-0.320524429553104,0.0622446696904722,NA,NA
"CD002042: CHF (log OR)","DL_RE",-0.121080152354666,0.143515080273354,-0.402364540928814,0.160204236219482,NA,NA
"CD002042: CHF (log OR)","REML_RE",-0.100623189450614,0.169283837026038,-0.432413413186397,0.231167034285169,NA,NA
"CD002042: CHF (log OR)","HK_REML",-0.100623189450614,0.153606063141093,-0.422124374507883,0.220877995606656,NA,NA
"CD002042: CHF (log OR)","HuberIV",-0.0847750091791079,0.169740719754595,-0.417460706608021,0.247910688249805,NA,NA
"CD002042: CHF (log OR)","tRE_df4",-0.0797831633046345,0.164402506983607,-0.4020061559606,0.242439829351331,NA,NA
"CD002042: CHF (log OR)","GRMA",-0.025081434854805,0.13184636564409,-0.238368870598459,0.279354914365704,-0.332599695855716,0.223725872780374
"CD002042: CHF (log OR)","GRMA_noguard",0.0143543100475995,0.149601973992142,-0.263356188649873,0.311123140869464,-0.268156115175947,0.306909468188983
"CD002042: Transfusion exposure (log OR)","IV_FE",-1.4999623009002,0.0351431156058665,-1.56884154179222,-1.43108306000817,NA,NA
"CD002042: Transfusion exposure (log OR)","DL_RE",-2.35846516015522,0.194455751544435,-2.73959142976898,-1.97733889054146,NA,NA
"CD002042: Transfusion exposure (log OR)","REML_RE",-2.46707642117453,0.251832148170005,-2.96065836173709,-1.97349448061197,NA,NA
"CD002042: Transfusion exposure (log OR)","HK_REML",-2.46707642117453,0.256697264490849,-2.98130283381946,-1.9528500085296,NA,NA
"CD002042: Transfusion exposure (log OR)","HuberIV",-2.31936977979052,0.25318706855901,-2.81560731551745,-1.82313224406358,NA,NA
"CD002042: Transfusion exposure (log OR)","tRE_df4",-2.26124264074256,0.245920854847819,-2.74323865929159,-1.77924662219353,NA,NA
"CD002042: Transfusion exposure (log OR)","GRMA",-1.99005404493467,0.433193279788247,-2.95882503240998,-1.36651262707258,-2.94753380921105,-1.3486793832716
"CD002042: Transfusion exposure (log OR)","GRMA_noguard",-2.31422087561815,0.29543841689772,-2.96639538101202,-1.8562798530237,-2.93490974267659,-1.85319432478321
